source_year,target_year,n_citations,n_available_papers,citations_per_available_paper
2023,1965,5,15,0.3333333333333333
2023,1966,7,12,0.5833333333333334
2023,1967,4,21,0.19047619047619047
2023,1968,3,8,0.375
2023,1969,4,20,0.2
2023,1970,8,21,0.38095238095238093
2023,1971,5,19,0.2631578947368421
2023,1972,3,23,0.13043478260869565
2023,1973,4,15,0.26666666666666666
2023,1974,1,13,0.07692307692307693
2023,1975,5,19,0.2631578947368421
2023,1976,1,19,0.05263157894736842
2023,1977,6,21,0.2857142857142857
2023,1978,1,18,0.05555555555555555
2023,1979,8,24,0.3333333333333333
2023,1980,5,27,0.18518518518518517
2023,1981,8,22,0.36363636363636365
2023,1982,14,26,0.5384615384615384
2023,1983,6,30,0.2
2023,1984,9,23,0.391304347826087
2023,1985,8,30,0.26666666666666666
2023,1986,11,28,0.39285714285714285
2023,1987,6,40,0.15
2023,1988,12,47,0.2553191489361702
2023,1989,59,53,1.1132075471698113
2023,1990,17,71,0.23943661971830985
2023,1991,23,53,0.4339622641509434
2023,1992,27,87,0.3103448275862069
2023,1993,35,85,0.4117647058823529
2023,1994,23,97,0.23711340206185566
2023,1995,34,99,0.3434343434343434
2023,1996,31,108,0.28703703703703703
2023,1997,49,106,0.46226415094339623
2023,1998,75,127,0.5905511811023622
2023,1999,51,136,0.375
2023,2000,49,189,0.25925925925925924
2023,2001,64,189,0.3386243386243386
2023,2002,73,199,0.36683417085427134
2023,2003,78,222,0.35135135135135137
2023,2004,112,261,0.42911877394636017
2023,2005,106,292,0.363013698630137
2023,2006,184,301,0.6112956810631229
2023,2007,100,346,0.28901734104046245
2023,2008,168,376,0.44680851063829785
2023,2009,430,462,0.9307359307359307
2023,2010,176,492,0.35772357723577236
2023,2011,207,560,0.36964285714285716
2023,2012,239,673,0.3551263001485884
2023,2013,372,807,0.46096654275092935
2023,2014,996,1049,0.9494756911344138
2023,2015,1879,1520,1.2361842105263159
2023,2016,1756,2276,0.7715289982425307
2023,2017,2478,3445,0.7193033381712627
2023,2018,2758,5022,0.5491835921943449
2023,2019,5117,6767,0.7561696468154279
2023,2020,5346,8355,0.6398563734290844
2023,2021,5909,8833,0.6689686403260501
2023,2022,4593,8403,0.5465905033916458
2023,2023,1946,9053,0.21495636805478846
2024,1867,1,2,0.5
2024,1892,1,1,1.0
2024,1901,1,1,1.0
2024,1918,1,1,1.0
2024,1929,1,1,1.0
2024,1931,1,2,0.5
2024,1933,1,4,0.25
2024,1934,1,2,0.5
2024,1936,1,3,0.3333333333333333
2024,1943,1,3,0.3333333333333333
2024,1945,1,2,0.5
2024,1946,2,4,0.5
2024,1947,1,4,0.25
2024,1950,1,5,0.2
2024,1951,8,6,1.3333333333333333
2024,1952,10,9,1.1111111111111112
2024,1953,3,9,0.3333333333333333
2024,1954,2,6,0.3333333333333333
2024,1955,7,3,2.3333333333333335
2024,1956,1,10,0.1
2024,1957,3,10,0.3
2024,1958,1,7,0.14285714285714285
2024,1959,1,4,0.25
2024,1960,1,10,0.1
2024,1961,2,6,0.3333333333333333
2024,1964,2,14,0.14285714285714285
2024,1965,10,15,0.6666666666666666
2024,1966,4,12,0.3333333333333333
2024,1967,8,21,0.38095238095238093
2024,1969,26,20,1.3
2024,1970,6,21,0.2857142857142857
2024,1971,7,19,0.3684210526315789
2024,1972,12,23,0.5217391304347826
2024,1973,3,15,0.2
2024,1974,4,13,0.3076923076923077
2024,1975,3,19,0.15789473684210525
2024,1976,5,19,0.2631578947368421
2024,1977,18,21,0.8571428571428571
2024,1978,6,18,0.3333333333333333
2024,1979,8,24,0.3333333333333333
2024,1980,8,27,0.2962962962962963
2024,1981,9,22,0.4090909090909091
2024,1982,10,26,0.38461538461538464
2024,1983,9,30,0.3
2024,1984,5,23,0.21739130434782608
2024,1985,9,30,0.3
2024,1986,13,28,0.4642857142857143
2024,1987,11,40,0.275
2024,1988,12,47,0.2553191489361702
2024,1989,52,53,0.9811320754716981
2024,1990,15,71,0.2112676056338028
2024,1991,22,53,0.41509433962264153
2024,1992,22,87,0.25287356321839083
2024,1993,30,85,0.35294117647058826
2024,1994,25,97,0.25773195876288657
2024,1995,34,99,0.3434343434343434
2024,1996,25,108,0.23148148148148148
2024,1997,74,106,0.6981132075471698
2024,1998,54,127,0.4251968503937008
2024,1999,51,136,0.375
2024,2000,41,189,0.21693121693121692
2024,2001,36,189,0.19047619047619047
2024,2002,76,199,0.38190954773869346
2024,2003,57,222,0.25675675675675674
2024,2004,116,261,0.4444444444444444
2024,2005,93,292,0.3184931506849315
2024,2006,159,301,0.5282392026578073
2024,2007,91,346,0.2630057803468208
2024,2008,163,376,0.43351063829787234
2024,2009,425,462,0.9199134199134199
2024,2010,156,492,0.3170731707317073
2024,2011,219,560,0.39107142857142857
2024,2012,261,673,0.38781575037147104
2024,2013,373,807,0.46220570012391576
2024,2014,894,1049,0.8522402287893232
2024,2015,1598,1520,1.0513157894736842
2024,2016,1581,2276,0.6946397188049209
2024,2017,2218,3445,0.6438316400580552
2024,2018,2425,5022,0.4828753484667463
2024,2019,4607,6767,0.6808039012856509
2024,2020,4872,8355,0.5831238779174147
2024,2021,5715,8833,0.6470055473791464
2024,2022,5783,8403,0.688206592883494
2024,2023,6786,9053,0.7495857726720424
2024,2024,2496,7403,0.33716061056328517
2025,1779,1,1,1.0
2025,1867,1,2,0.5
2025,1873,1,1,1.0
2025,1877,1,1,1.0
2025,1894,1,1,1.0
2025,1901,1,1,1.0
2025,1905,1,1,1.0
2025,1906,1,1,1.0
2025,1907,1,1,1.0
2025,1909,2,2,1.0
2025,1919,1,1,1.0
2025,1925,1,1,1.0
2025,1931,1,2,0.5
2025,1933,1,4,0.25
2025,1937,1,2,0.5
2025,1940,1,2,0.5
2025,1943,1,3,0.3333333333333333
2025,1945,1,2,0.5
2025,1946,1,4,0.25
2025,1947,4,4,1.0
2025,1949,1,5,0.2
2025,1950,2,5,0.4
2025,1951,5,6,0.8333333333333334
2025,1952,6,9,0.6666666666666666
2025,1953,2,9,0.2222222222222222
2025,1954,2,6,0.3333333333333333
2025,1955,7,3,2.3333333333333335
