paper_id,year,referenceCount,citationCount,source_paper_id_x,total_refs,internal_refs,external_refs,external_ref_ratio,source_paper_id_y,observed_out_refs,source_year,backward_pool_size,ref_rate_per_available_paper,target_paper_id,observed_in_cites,mean_in_cites,median_in_cites,std_in_cites,citation_norm_year_mean,citation_z_year,paper_age,cites_per_year_alive,mean_by_age,median_by_age,std_by_age,citation_norm_age_mean,citation_z_age,period,internal_ref_ratio,internal_coverage_of_citations,internal_coverage_of_references
13475,2015,44.0,79.0,,0.0,0.0,0.0,0.0,,0.0,2015,8175,0.0,13475.0,1.0,7.235526315789474,1.0,86.45680569247114,0.13820694671758502,-0.07212302450739837,12,0.08333333333333333,7.235526315789474,1.0,86.45680569247114,0.13820694671758502,-0.07212302450739837,pre_2023,,0.012658227848101266,0.0
13476,2015,44.0,123.0,,0.0,0.0,0.0,0.0,,0.0,2015,8175,0.0,13476.0,1.0,7.235526315789474,1.0,86.45680569247114,0.13820694671758502,-0.07212302450739837,12,0.08333333333333333,7.235526315789474,1.0,86.45680569247114,0.13820694671758502,-0.07212302450739837,pre_2023,,0.008130081300813009,0.0
13477,2014,52.0,163.0,,0.0,0.0,0.0,0.0,,0.0,2014,7126,0.0,13477.0,1.0,5.90371782650143,1.0,43.727287185023535,0.16938478927821732,-0.11214319803907111,13,0.07692307692307693,5.90371782650143,1.0,43.727287185023535,0.16938478927821732,-0.11214319803907111,pre_2023,,0.006134969325153374,0.0
13478,2014,74.0,22.0,,0.0,0.0,0.0,0.0,,0.0,2014,7126,0.0,13478.0,1.0,5.90371782650143,1.0,43.727287185023535,0.16938478927821732,-0.11214319803907111,13,0.07692307692307693,5.90371782650143,1.0,43.727287185023535,0.16938478927821732,-0.11214319803907111,pre_2023,,0.045454545454545456,0.0
13479,2014,32.0,208.0,,0.0,0.0,0.0,0.0,,0.0,2014,7126,0.0,13479.0,1.0,5.90371782650143,1.0,43.727287185023535,0.16938478927821732,-0.11214319803907111,13,0.07692307692307693,5.90371782650143,1.0,43.727287185023535,0.16938478927821732,-0.11214319803907111,pre_2023,,0.004807692307692308,0.0
13480,2012,9.0,54.0,,0.0,0.0,0.0,0.0,,0.0,2012,5646,0.0,13480.0,1.0,2.459138187221397,1.0,13.090977803487856,0.4066465256797583,-0.11146135981016145,15,0.06666666666666667,2.459138187221397,1.0,13.090977803487856,0.4066465256797583,-0.11146135981016145,pre_2023,,0.018518518518518517,0.0
13481,2011,7.0,143.0,,0.0,0.0,0.0,0.0,,0.0,2011,5086,0.0,13481.0,1.0,2.2535714285714286,1.0,6.011615598639121,0.4437400950871632,-0.20852488120750862,16,0.0625,2.2535714285714286,1.0,6.011615598639121,0.4437400950871632,-0.20852488120750862,pre_2023,,0.006993006993006993,0.0
13482,2010,33.0,58.0,,0.0,0.0,0.0,0.0,,0.0,2010,4594,0.0,13482.0,1.0,2.008130081300813,1.0,4.367993074902092,0.4979757085020243,-0.23079937719988494,17,0.058823529411764705,2.008130081300813,1.0,4.367993074902092,0.4979757085020243,-0.23079937719988494,pre_2023,,0.017241379310344827,0.0
13483,2008,17.0,118.0,,0.0,0.0,0.0,0.0,,0.0,2008,3756,0.0,13483.0,1.0,2.5,1.0,11.456351949900982,0.4,-0.13093173172049455,19,0.05263157894736842,2.5,1.0,11.456351949900982,0.4,-0.13093173172049455,pre_2023,,0.00847457627118644,0.0
13484,2007,9.0,457.0,,0.0,0.0,0.0,0.0,,0.0,2007,3410,0.0,13484.0,1.0,1.560693641618497,1.0,1.7670293039293272,0.6407407407407407,-0.3173086266151261,20,0.05,1.560693641618497,1.0,1.7670293039293272,0.6407407407407407,-0.3173086266151261,pre_2023,,0.002188183807439825,0.0
13485,2016,286.0,233.0,,0.0,0.0,0.0,0.0,,0.0,2016,9695,0.0,13485.0,1.0,4.968804920913884,1.0,22.951001655455915,0.20125563710319214,-0.17292512895490203,11,0.09090909090909091,4.968804920913884,1.0,22.951001655455915,0.20125563710319214,-0.17292512895490203,pre_2023,,0.004291845493562232,0.0
13486,2024,42.0,18.0,,0.0,0.0,0.0,0.0,,0.0,2024,61849,0.0,13486.0,1.0,1.3316223152775901,1.0,2.0336558647341794,0.7509636843173058,-0.16306707591401493,3,0.3333333333333333,1.3316223152775901,1.0,2.0336558647341794,0.7509636843173058,-0.16306707591401493,post_2023,,0.05555555555555555,0.0
13487,2024,28.0,13.0,,0.0,0.0,0.0,0.0,,0.0,2024,61849,0.0,13487.0,1.0,1.3316223152775901,1.0,2.0336558647341794,0.7509636843173058,-0.16306707591401493,3,0.3333333333333333,1.3316223152775901,1.0,2.0336558647341794,0.7509636843173058,-0.16306707591401493,post_2023,,0.07692307692307693,0.0
13488,2024,31.0,19.0,,0.0,0.0,0.0,0.0,,0.0,2024,61849,0.0,13488.0,1.0,1.3316223152775901,1.0,2.0336558647341794,0.7509636843173058,-0.16306707591401493,3,0.3333333333333333,1.3316223152775901,1.0,2.0336558647341794,0.7509636843173058,-0.16306707591401493,post_2023,,0.05263157894736842,0.0
13489,2024,19.0,9.0,,0.0,0.0,0.0,0.0,,0.0,2024,61849,0.0,13489.0,1.0,1.3316223152775901,1.0,2.0336558647341794,0.7509636843173058,-0.16306707591401493,3,0.3333333333333333,1.3316223152775901,1.0,2.0336558647341794,0.7509636843173058,-0.16306707591401493,post_2023,,0.1111111111111111,0.0
13490,2024,42.0,11.0,,0.0,0.0,0.0,0.0,,0.0,2024,61849,0.0,13490.0,1.0,1.3316223152775901,1.0,2.0336558647341794,0.7509636843173058,-0.16306707591401493,3,0.3333333333333333,1.3316223152775901,1.0,2.0336558647341794,0.7509636843173058,-0.16306707591401493,post_2023,,0.09090909090909091,0.0
13491,2023,53.0,30.0,,0.0,0.0,0.0,0.0,,0.0,2023,52796,0.0,13491.0,1.0,1.8033800949961338,1.0,4.07860265544195,0.5545142717138307,-0.19697434706570627,4,0.25,1.8033800949961338,1.0,4.07860265544195,0.5545142717138307,-0.19697434706570627,post_2023,,0.03333333333333333,0.0
13492,2023,33.0,44.0,,0.0,0.0,0.0,0.0,,0.0,2023,52796,0.0,13492.0,1.0,1.8033800949961338,1.0,4.07860265544195,0.5545142717138307,-0.19697434706570627,4,0.25,1.8033800949961338,1.0,4.07860265544195,0.5545142717138307,-0.19697434706570627,post_2023,,0.022727272727272728,0.0
13493,2023,65.0,14.0,,0.0,0.0,0.0,0.0,,0.0,2023,52796,0.0,13493.0,1.0,1.8033800949961338,1.0,4.07860265544195,0.5545142717138307,-0.19697434706570627,4,0.25,1.8033800949961338,1.0,4.07860265544195,0.5545142717138307,-0.19697434706570627,post_2023,,0.07142857142857142,0.0
13494,2023,43.0,11.0,,0.0,0.0,0.0,0.0,,0.0,2023,52796,0.0,13494.0,2.0,1.8033800949961338,1.0,4.07860265544195,1.1090285434276614,0.04820766365694449,4,0.5,1.8033800949961338,1.0,4.07860265544195,1.1090285434276614,0.04820766365694449,post_2023,,0.18181818181818182,0.0
13495,2022,31.0,23.0,,0.0,0.0,0.0,0.0,,0.0,2022,44393,0.0,13495.0,1.0,2.0190408187552067,1.0,5.029536107100758,0.49528468702110096,-0.20261129397530578,5,0.2,2.0190408187552067,1.0,5.029536107100758,0.49528468702110096,-0.20261129397530578,pre_2023,,0.043478260869565216,0.0
13496,2022,76.0,17.0,,0.0,0.0,0.0,0.0,,0.0,2022,44393,0.0,13496.0,1.0,2.0190408187552067,1.0,5.029536107100758,0.49528468702110096,-0.20261129397530578,5,0.2,2.0190408187552067,1.0,5.029536107100758,0.49528468702110096,-0.20261129397530578,pre_2023,,0.058823529411764705,0.0
13497,2022,62.0,522.0,,0.0,0.0,0.0,0.0,,0.0,2022,44393,0.0,13497.0,6.0,2.0190408187552067,1.0,5.029536107100758,2.9717081221266057,0.7915161749459216,5,1.2,2.0190408187552067,1.0,5.029536107100758,2.9717081221266057,0.7915161749459216,pre_2023,,0.011494252873563218,0.0
13498,2022,75.0,100.0,,0.0,0.0,0.0,0.0,,0.0,2022,44393,0.0,13498.0,3.0,2.0190408187552067,1.0,5.029536107100758,1.4858540610633029,0.1950396935931852,5,0.6,2.0190408187552067,1.0,5.029536107100758,1.4858540610633029,0.1950396935931852,pre_2023,,0.03,0.0
13499,2022,47.0,33.0,,0.0,0.0,0.0,0.0,,0.0,2022,44393,0.0,13499.0,1.0,2.0190408187552067,1.0,5.029536107100758,0.49528468702110096,-0.20261129397530578,5,0.2,2.0190408187552067,1.0,5.029536107100758,0.49528468702110096,-0.20261129397530578,pre_2023,,0.030303030303030304,0.0
